FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Andaman and Nicobar Islands,India,2023-01-08 04:21:05,11.225999,92.968178,10747,129,,,"Andaman and Nicobar Islands, India",2576.995750966344,1.2003349772029404
,,Andhra Pradesh,India,2023-01-08 04:21:05,15.9129,79.74,2339075,14733,,,"Andhra Pradesh, India",4339.3836080040455,0.6298643694622874
,,Arunachal Pradesh,India,2023-01-08 04:21:05,27.768456,96.384277,66891,296,,,"Arunachal Pradesh, India",4259.330717535903,0.4425109506510591
,,Assam,India,2023-01-08 04:21:05,26.357149,92.830441,746100,8035,,,"Assam, India",2095.372209972304,1.0769333869454496
,,Bihar,India,2023-01-08 04:21:05,25.679658,85.60484,851404,12303,,,"Bihar, India",682.215148108341,1.445024923538062
,,Chandigarh,India,2023-01-08 04:21:05,30.733839,76.768278,99353,1181,,,"Chandigarh, India",8576.203329728012,1.1886908296679517
,,Chhattisgarh,India,2023-01-08 04:21:05,21.264705,82.035366,1177760,14146,,,"Chhattisgarh, India",4001.0557058069016,1.2010936014128517
,,Dadra and Nagar Haveli and Daman and Diu,India,2023-01-08 04:21:05,20.194742,73.080901,11591,4,,,"Dadra and Nagar Haveli and Daman and Diu, India",1882.499301635148,0.0345095332585626
,,Delhi,India,2023-01-08 04:21:05,28.646519,77.10898,2007273,26521,,,"Delhi, India",10727.814481830452,1.3212452914974695
,,Goa,India,2023-01-08 04:21:05,15.359682,74.057396,259094,4013,,,"Goa, India",16333.743104806934,1.548858715369711
,,Gujarat,India,2023-01-08 04:21:05,22.694884,71.590923,1277603,11043,,,"Gujarat, India",2000.242702642185,0.8643530110683836
,,Haryana,India,2023-01-08 04:21:05,29.20004,76.332824,1056640,10714,,,"Haryana, India",3746.327029559479,1.013968806783767
,,Himachal Pradesh,India,2023-01-08 04:21:05,31.927213,77.233081,312676,4213,,,"Himachal Pradesh, India",4195.892218887527,1.3474011436758817
,,Jammu and Kashmir,India,2023-01-08 04:21:05,33.75943,76.612638,479437,4785,,,"Jammu and Kashmir, India",3523.63460509528,0.9980456243468904
,,Jharkhand,India,2023-01-08 04:21:05,23.654536,85.557631,442573,5331,,,"Jharkhand, India",1146.7419710468594,1.204547046475949
,,Karnataka,India,2023-01-08 04:21:05,14.70518,76.166436,4072258,40308,,,"Karnataka, India",6027.377301133351,0.9898194073165304
,,Kerala,India,2023-01-08 04:21:05,10.450898,76.405749,6828851,71567,,,"Kerala, India",19128.73262476392,1.048009394259737
,,Ladakh,India,2023-01-08 04:21:05,34.1526,77.5771,29415,231,,,"Ladakh, India",10724.090284335136,0.7853136155022947
,,Lakshadweep,India,2023-01-08 04:21:05,13.6999972,72.1833326,11415,52,,,"Lakshadweep, India",17717.17704760279,0.4555409548839246
,,Madhya Pradesh,India,2023-01-08 04:21:05,23.541513,78.289633,1054924,10776,,,"Madhya Pradesh, India",1235.8678435241102,1.021495387345439
,,Maharashtra,India,2023-01-08 04:21:05,19.449759,76.108221,8136791,148418,,,"Maharashtra, India",6607.52961184383,1.8240360358278835
,,Manipur,India,2023-01-08 04:21:05,24.738975,93.882541,139924,2149,,,"Manipur, India",4526.021778754635,1.5358337383150853
,,Meghalaya,India,2023-01-08 04:21:05,25.536934,91.278882,96784,1624,,,"Meghalaya, India",2874.7352756845703,1.6779632997189615
,,Mizoram,India,2023-01-08 04:21:05,23.309381,92.83822,238964,726,,,"Mizoram, India",19283.046760767047,0.3038114527711287
,,Nagaland,India,2023-01-08 04:21:05,26.06702,94.470302,35986,782,,,"Nagaland, India",1599.5946117140325,2.173067303951537
,,Odisha,India,2023-01-08 04:21:05,20.505428,84.418059,1336577,9205,,,"Odisha, India",2883.2672575014235,0.688699566130496
,,Puducherry,India,2023-01-08 04:21:05,11.882658,78.86498,175551,1975,,,"Puducherry, India",12419.227727227066,1.1250291937955352
,,Punjab,India,2023-01-08 04:21:05,30.841465,75.40879,785474,19289,,,"Punjab, India",2605.966224564488,2.4557146385494617
,,Rajasthan,India,2023-01-08 04:21:05,26.583423,73.847973,1315545,9653,,,"Rajasthan, India",1623.4744474541626,0.7337643334131482
,,Sikkim,India,2023-01-08 04:21:05,27.571671,88.472712,44319,499,,,"Sikkim, India",6420.707829470729,1.125927931586904
,,Tamil Nadu,India,2023-01-08 04:21:05,11.006091,78.400624,3594501,38049,,,"Tamil Nadu, India",4617.731877360116,1.0585335767050836
,,Telangana,India,2023-01-08 04:21:05,18.1124,79.0193,841404,4111,,,"Telangana, India",2137.5650450278704,0.4885881217583943
,,Tripura,India,2023-01-08 04:21:05,23.746783,91.743565,108034,940,,,"Tripura, India",2590.8713955653443,0.8700964511172409
,,Unknown,India,2023-01-08 04:21:05,,,0,0,,,"Unknown, India",,
,,Uttar Pradesh,India,2023-01-08 04:21:05,26.925425,80.560982,2128143,23634,,,"Uttar Pradesh, India",894.6185562654875,1.1105456729176564
,,Uttarakhand,India,2023-01-08 04:21:05,30.156447,79.197608,449421,7753,,,"Uttarakhand, India",3994.5486824204872,1.7251085285289294
,,West Bengal,India,2023-01-08 04:21:05,23.814082,87.979803,2118650,21532,,,"West Bengal, India",2126.9599687892605,1.0163075543388478
,,,Kenya,2023-01-08 04:21:05,-0.0236,37.9062,342598,5688,,,Kenya,637.1391430000763,1.6602548759770928
